seq_orgao;cod_municipio;cod_orgao;seq_unidade;cod_unidade;cod_subunidade;num_anoexercicio;num_mesexercicio;dsc_funcao;dsc_subfuncao;dsc_programa;dsc_acao;dsc_subacao;dsc_naturezadespesa;dsc_fonterecurso;dsc_cod_orcamentario;vlr_previsto;vlr_acrescimo;vlr_deducao;vlr_empenhado;vlr_liquidado;vlr_pago;vlr_rspprocessado;vlr_rspnprocessado
2169;3171303;02;261122;2016;-9;2018;1;20 - AGRICULTURA;608 - PROMOÇÃO DA PRODUÇÃO AGROPECUÁRIA;0033 - PROMOVER A PRODUCAO VEGETAL;2151 - MANUTENCAO DE VIVEIROS E HORTAS COMUNITARIAS;;3.3.90.30.00 - MATERIAL DE CONSUMO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;1000;0;0;0;0;0;0;0
2169;3171303;02;261112;2006;-9;2018;10;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2052 - MANUT DOS BENSSERV DO INSTITUTO DE PLANEJAMENTO;;3.3.90.39.02 - CONDOMÍNIOS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;2465.03;2290.71;174.32;-2465.03
2168;3171303;01;261138;1004;-9;2018;1;01 - LEGISLATIVA;031 - AÇÃO LEGISLATIVA;0101 - PROCESSO LEGISLATIVO;4016 - MANUTENÇAO DA ESCOLA DO LEGISLATIVO;;3.3.90.31.00 - PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;10000;0;0;0;0;0;0;0
2171;3171303;04;261163;4002;2;2018;1;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0002 - EDIFICACOES PUBLICAS;5002 - REFORMA DAS SALAS DO CENTRO ODONTOLOGICO;;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;500;0;0;0;0;0;0;0
2169;3171303;02;261151;2014;1;2018;12;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0002 - EDIFICACOES PUBLICAS;2032 - DIVULGACAO INSTITUCIONAL;;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;2000;0;0;0;0;0
2169;3171303;02;261140;2003;2;2018;11;10 - SAÚDE;302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL;0010 - PROMOVER ASSISTENCIA HOSPITALAR E AMBULATORIAL;2087 - MANUT DO CONTROLE AVALIACAO REGULACAO E AUDITORIA;;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;149 - TRANSFERÊNCIAS DE RECURSOS DO SUS PARA ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;NÃO INFORMADO;0;2000;0;0;0;0;0;0
2169;3171303;02;261146;2002;2;2018;8;06 - SEGURANÇA PÚBLICA;181 - POLICIAMENTO;0006 - SEGURANCA PUBLICA DO MUNICIPIO;0014 - MANUT DO CONVENIO COM A POLICIA CIVIL;;3.3.90.39.99 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;165.34;0;165.34;-165.34
2169;3171303;02;261156;2007;2;2018;11;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0025 - ASSISTIR AS FAMILIAS CARENTES DE VICOSA;2154 - MANUTENCAO DO BLOCO PISO SOCIAL BASICO;;3.3.90.39.99 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;129 - TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL (FNAS);NÃO INFORMADO;0;0;0;15100;7647.61;7647.61;0;7452.39
2172;3171303;05;261144;5002;2;2018;4;09 - PREVIDÊNCIA SOCIAL;272 - PREVIDÊNCIA DO REGIME ESTATUTÁRIO;0902 - GESTAO PREVIDENCIARIA DO FUNDO PREVIDENCIARIO;8021 - MANUTENCAO DO SALARIO FAMILIA  FP;;3.1.90.92.01 - DESPESAS DE EXERCÍCIOS ANTERIORES DE PESSOAL ATIVO;103 - CONTRIBUIÇÃO PARA O REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL (RPPS): PATRONAL, DOS SERVIDORES, COMPENSAÇÃO FINANCEIRA;NÃO INFORMADO;0;0;0;1460.29;1460.29;1460.29;0;0
2169;3171303;02;261111;2013;-9;2018;1;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2024 - MANUT DAS ATIVIDADES DA CONTROLADORIA  PESSOAL;;3.1.90.13.03 - CONTRIBUIÇÃO PATRONAL PARA O INSS (EXCETO A INCIDENTE SOBRE O FUNDEB);100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;3064.54;3064.54;0;3064.54;0
2169;3171303;02;261159;2004;1;2018;9;12 - EDUCAÇÃO;365 - EDUCAÇÃO INFANTIL;0000 - ENCARGOS ESPECIAIS;0012 - APOIO A ASSOCIACOES E COOPERATIVAS;;3.3.50.43.00 - SUBVENÇÕES SOCIAIS;101 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À EDUCAÇÃO;NÃO INFORMADO;0;0;0;49616.85;67976.53;0;67976.53;-18359.68
2172;3171303;05;261155;5001;1;2018;8;09 - PREVIDÊNCIA SOCIAL;122 - ADMINISTRAÇÃO GERAL;0402 - GESTAO ADMINISTRATIVA DO FUNDO FINANCEIRO;8005 - VISITA TECNICA E CAPACITACAO DE SERVIDORES  FF;;3.3.90.14.05 - DIÁRIAS DE DEMAIS SERVIDORES;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;4123.56;4123.56;4123.56;0;0
